eps_eV,k_iz_m3_per_s,K_eV_m3_per_s
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.412000000000000028e-22,3.451589999999999866e-19
2.000000000000000000e+00,3.939999999999999835e-18,4.523200000000000214e-16
3.000000000000000000e+00,1.080000000000000046e-16,6.230999999999999684e-15
4.000000000000000000e+00,5.982000000000000371e-16,2.516720000000000079e-14
5.000000000000000000e+00,1.720999999999999961e-15,6.059500000000000585e-14
6.000000000000000000e+00,3.574999999999999913e-15,1.116900000000000017e-13
7.000000000000000000e+00,6.102000000000000152e-15,1.754059999999999950e-13
8.000000000000000000e+00,9.187000000000000385e-15,2.483440000000000170e-13
9.000000000000000000e+00,1.273999999999999955e-14,3.281400000000000033e-13
1.000000000000000000e+01,1.654999999999999953e-14,4.102999999999999784e-13
1.100000000000000000e+01,2.078999999999999901e-14,4.990700000000000131e-13
1.200000000000000000e+01,2.509000000000000025e-14,5.860799999999999624e-13
1.300000000000000000e+01,2.960999999999999954e-14,6.754799999999999652e-13
1.400000000000000000e+01,3.409000000000000292e-14,7.625799999999999677e-13
1.500000000000000000e+01,3.856000000000000180e-14,8.480999999999999910e-13
1.600000000000000000e+01,4.318999999999999696e-14,9.345600000000000083e-13
1.700000000000000000e+01,4.784999999999999932e-14,1.019149999999999954e-12
1.800000000000000000e+01,5.224999999999999824e-14,1.098900000000000094e-12
1.900000000000000000e+01,5.688000000000000603e-14,1.182179999999999916e-12
2.000000000000000000e+01,6.075999999999999808e-14,1.252800000000000074e-12
2.100000000000000000e+01,6.565000000000000299e-14,1.336649999999999964e-12
2.200000000000000000e+01,6.999000000000000015e-14,1.412620000000000094e-12
2.300000000000000000e+01,7.429000000000000455e-14,1.486030000000000081e-12
2.400000000000000000e+01,7.827999999999999562e-14,1.553280000000000021e-12
2.500000000000000000e+01,8.248000000000000549e-14,1.623000000000000052e-12
2.600000000000000000e+01,8.660000000000000460e-14,1.692600000000000078e-12
2.700000000000000000e+01,9.063000000000000106e-14,1.759589999999999977e-12
2.800000000000000000e+01,9.448999999999999673e-14,1.820279999999999995e-12
2.900000000000000000e+01,9.835000000000000502e-14,1.883549999999999986e-12
3.000000000000000000e+01,1.014000000000000021e-13,1.931999999999999846e-12
3.100000000000000000e+01,1.058000000000000010e-13,2.005699999999999824e-12
3.200000000000000000e+01,1.094000000000000059e-13,2.060799999999999862e-12
3.300000000000000000e+01,1.129999999999999981e-13,2.118599999999999879e-12
3.400000000000000000e+01,1.165000000000000085e-13,2.172599999999999850e-12
3.500000000000000000e+01,1.199999999999999935e-13,2.222499999999999870e-12
3.600000000000000000e+01,1.231000000000000005e-13,2.275199999999999837e-12
3.700000000000000000e+01,1.267000000000000054e-13,2.331000000000000064e-12
3.800000000000000000e+01,1.299000000000000069e-13,2.378799999999999921e-12
3.900000000000000000e+01,1.332000000000000029e-13,2.429700000000000037e-12
4.000000000000000000e+01,1.355999999999999978e-13,2.464000000000000002e-12
4.100000000000000000e+01,1.393999999999999917e-13,2.525600000000000063e-12
4.200000000000000000e+01,1.424000000000000041e-13,2.566200000000000112e-12
4.300000000000000000e+01,1.455000000000000111e-13,2.614399999999999846e-12
4.400000000000000000e+01,1.481999999999999895e-13,2.653200000000000044e-12
4.500000000000000000e+01,1.512000000000000020e-13,2.699999999999999804e-12
4.600000000000000000e+01,1.540000000000000001e-13,2.737000000000000152e-12
4.700000000000000000e+01,1.568999999999999928e-13,2.782399999999999938e-12
4.800000000000000000e+01,1.594000000000000074e-13,2.817600000000000030e-12
4.900000000000000000e+01,1.623000000000000001e-13,2.861599999999999843e-12
5.000000000000000000e+01,1.646999999999999949e-13,2.895000000000000084e-12
5.100000000000000000e+01,1.674999999999999931e-13,2.942699999999999972e-12
5.200000000000000000e+01,1.700000000000000077e-13,2.974399999999999928e-12
5.300000000000000000e+01,1.725999999999999916e-13,3.010400000000000178e-12
5.400000000000000000e+01,1.751000000000000062e-13,3.045599999999999867e-12
5.500000000000000000e+01,1.774000000000000064e-13,3.085500000000000131e-12
5.600000000000000000e+01,1.798000000000000013e-13,3.113599999999999981e-12
5.700000000000000000e+01,1.821999999999999961e-13,3.152099999999999867e-12
5.800000000000000000e+01,1.844999999999999964e-13,3.184200000000000104e-12
5.900000000000000000e+01,1.867999999999999967e-13,3.215500000000000183e-12
6.000000000000000000e+01,1.867000000000000022e-13,3.209999999999999853e-12
6.100000000000000000e+01,1.912000000000000082e-13,3.275699999999999866e-12
6.200000000000000000e+01,1.933999999999999888e-13,3.304599999999999874e-12
6.300000000000000000e+01,1.955000000000000000e-13,3.338999999999999808e-12
6.400000000000000000e+01,1.973000000000000024e-13,3.359999999999999819e-12
6.500000000000000000e+01,1.996000000000000027e-13,3.399499999999999802e-12
6.600000000000000000e+01,2.014000000000000052e-13,3.412199999999999940e-12
6.700000000000000000e+01,2.037000000000000055e-13,3.443799999999999927e-12
6.800000000000000000e+01,2.053999999999999881e-13,3.468000000000000167e-12
6.900000000000000000e+01,2.075999999999999939e-13,3.498300000000000149e-12
7.000000000000000000e+01,2.093000000000000018e-13,3.527999999999999911e-12
7.100000000000000000e+01,2.112999999999999933e-13,3.557099999999999858e-12
7.200000000000000000e+01,2.125000000000000033e-13,3.564000000000000162e-12
